Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.M.U2.N.000000.3.ANR
,ICP.M.U2.N.000000.3.ANR
,"Euro area (changing composition) - HICP - Overall index, Annual rate of change, backdated using non-harmonised data, PPP conversion rate used for country weights prior to 1990, European Central Bank, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
2018Aug,2.0
2018Jul,2.1
2018Jun,2.0
2018May,1.9
2018Apr,1.3
2018Mar,1.3
2018Feb,1.1
2018Jan,1.3
2017Dec,1.4
2017Nov,1.5
2017Oct,1.4
2017Sep,1.5
2017Aug,1.5
2017Jul,1.3
2017Jun,1.3
2017May,1.4
2017Apr,1.9
2017Mar,1.5
2017Feb,2.0
2017Jan,1.8
2016Dec,1.1
2016Nov,0.6
2016Oct,0.5
2016Sep,0.4
2016Aug,0.2
2016Jul,0.2
2016Jun,0.1
2016May,-0.1
2016Apr,-0.2
2016Mar,0.0
2016Feb,-0.2
2016Jan,0.3
2015Dec,0.2
2015Nov,0.2
2015Oct,0.1
2015Sep,-0.1
2015Aug,0.1
2015Jul,0.2
2015Jun,0.2
2015May,0.3
2015Apr,0.0
2015Mar,-0.1
2015Feb,-0.3
2015Jan,-0.6
2014Dec,-0.2
2014Nov,0.3
2014Oct,0.4
2014Sep,0.3
2014Aug,0.4
2014Jul,0.4
2014Jun,0.5
2014May,0.5
2014Apr,0.7
2014Mar,0.5
2014Feb,0.7
2014Jan,0.8
2013Dec,0.8
2013Nov,0.9
2013Oct,0.7
2013Sep,1.1
2013Aug,1.3
2013Jul,1.6
2013Jun,1.6
2013May,1.4
2013Apr,1.2
2013Mar,1.7
2013Feb,1.9
2013Jan,2.0
2012Dec,2.2
2012Nov,2.2
2012Oct,2.5
2012Sep,2.6
2012Aug,2.6
2012Jul,2.4
2012Jun,2.4
2012May,2.4
2012Apr,2.6
2012Mar,2.7
2012Feb,2.7
2012Jan,2.7
2011Dec,2.8
2011Nov,3.0
2011Oct,3.0
2011Sep,3.0
2011Aug,2.5
2011Jul,2.6
2011Jun,2.7
2011May,2.7
2011Apr,2.8
2011Mar,2.7
2011Feb,2.4
2011Jan,2.3
2010Dec,2.2
2010Nov,1.9
2010Oct,1.9
2010Sep,1.9
2010Aug,1.6
2010Jul,1.7
2010Jun,1.5
2010May,1.7
2010Apr,1.6
2010Mar,1.6
2010Feb,0.8
2010Jan,0.9
2009Dec,0.9
2009Nov,0.5
2009Oct,-0.1
2009Sep,-0.3
2009Aug,-0.2
2009Jul,-0.6
2009Jun,-0.1
2009May,0.0
2009Apr,0.6
2009Mar,0.6
2009Feb,1.2
2009Jan,1.1
2008Dec,1.6
2008Nov,2.1
2008Oct,3.2
2008Sep,3.6
2008Aug,3.8
2008Jul,4.1
2008Jun,4.0
2008May,3.7
2008Apr,3.3
2008Mar,3.6
2008Feb,3.3
2008Jan,3.2
2007Dec,3.1
2007Nov,3.1
2007Oct,2.5
2007Sep,2.1
2007Aug,1.7
2007Jul,1.8
2007Jun,1.9
2007May,1.9
2007Apr,1.9
2007Mar,1.9
2007Feb,1.8
2007Jan,1.8
2006Dec,1.9
2006Nov,1.9
2006Oct,1.6
2006Sep,1.8
2006Aug,2.3
2006Jul,2.4
2006Jun,2.5
2006May,2.5
2006Apr,2.4
2006Mar,2.2
2006Feb,2.4
2006Jan,2.4
2005Dec,2.3
2005Nov,2.3
2005Oct,2.5
2005Sep,2.6
2005Aug,2.2
2005Jul,2.1
2005Jun,2.0
2005May,2.0
2005Apr,2.1
2005Mar,2.2
2005Feb,2.1
2005Jan,1.9
2004Dec,2.3
2004Nov,2.2
2004Oct,2.4
2004Sep,2.1
2004Aug,2.4
2004Jul,2.3
2004Jun,2.4
2004May,2.4
2004Apr,2.1
2004Mar,1.7
2004Feb,1.6
2004Jan,1.8
2003Dec,2.0
2003Nov,2.2
2003Oct,2.0
2003Sep,2.1
2003Aug,2.0
2003Jul,1.9
2003Jun,2.0
2003May,1.8
2003Apr,2.1
2003Mar,2.4
2003Feb,2.4
2003Jan,2.1
2002Dec,2.3
2002Nov,2.3
2002Oct,2.3
2002Sep,2.1
2002Aug,2.1
2002Jul,2.0
2002Jun,1.9
2002May,2.1
2002Apr,2.4
2002Mar,2.5
2002Feb,2.5
2002Jan,2.6
2001Dec,2.1
2001Nov,2.0
2001Oct,2.3
2001Sep,2.2
2001Aug,2.3
2001Jul,2.5
2001Jun,2.9
2001May,3.1
2001Apr,2.7
2001Mar,2.2
2001Feb,2.0
2001Jan,2.0
2000Dec,2.5
2000Nov,2.5
2000Oct,2.4
2000Sep,2.4
2000Aug,2.1
2000Jul,2.1
2000Jun,2.1
2000May,1.8
2000Apr,1.7
2000Mar,2.0
2000Feb,1.9
2000Jan,1.9
1999Dec,1.7
1999Nov,1.4
1999Oct,1.3
1999Sep,1.2
1999Aug,1.1
1999Jul,1.0
1999Jun,0.9
1999May,0.9
1999Apr,1.1
1999Mar,0.9
1999Feb,0.7
1999Jan,0.8
1998Dec,0.7
1998Nov,0.8
1998Oct,0.9
1998Sep,1.0
1998Aug,1.1
1998Jul,1.3
1998Jun,1.3
1998May,1.3
1998Apr,1.4
1998Mar,1.1
1998Feb,1.1
1998Jan,1.1
1997Dec,1.5
1997Nov,1.6
1997Oct,1.5
1997Sep,1.6
