Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.N.U2.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=YPC
,MNA.Q.N.U2.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N,Year-to-Year %-change
,"Gross domestic product at market prices - Euro area (Member States and Institutions of the Euro Area) changing composition - Domestic (home or reference area), Total economy, Euro, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data",
Collection:,Summed through period (S),
Period\Unit:,[Millions],
2018Q2,2890561.04,3.61
2018Q1,2805481.86,3.57
2017Q4,2892439.50,3.79
2017Q3,2797155.37,3.93
2017Q2,2789960.92,2.95
2017Q1,2708815.60,3.35
2016Q4,2786783.25,2.22
2016Q3,2691397.61,2.17
2016Q2,2710103.10,3.26
2016Q1,2621066.47,2.89
2015Q4,2726186.37,4.17
2015Q3,2634343.40,4.07
2015Q2,2624429.96,4.03
2015Q1,2547472.68,3.51
2014Q4,2617057.70,2.70
2014Q3,2531206.21,2.35
2014Q2,2522861.88,2.04
2014Q1,2461092.89,2.87
2013Q4,2548167.28,1.68
2013Q3,2473204.61,1.60
2013Q2,2472394.51,1.04
2013Q1,2392474.41,-0.48
2012Q4,2506160.29,0.09
2012Q3,2434303.94,0.24
2012Q2,2446999.05,0.04
2012Q1,2403895.07,1.19
2011Q4,2503985.03,1.33
2011Q3,2428362.41,2.57
2011Q2,2446047.14,3.11
2011Q1,2375731.44,4.16
2010Q4,2471099.73,3.02
2010Q3,2367495.71,3.25
2010Q2,2372239.80,3.09
2010Q1,2280836.40,1.65
2009Q4,2398552.87,-0.66
2009Q3,2292929.48,-2.77
2009Q2,2301150.24,-4.32
2009Q1,2243756.69,-3.42
2008Q4,2414602.31,-0.14
2008Q3,2358211.40,2.85
2008Q2,2405062.12,4.08
2008Q1,2323203.42,3.93
2007Q4,2418073.56,5.27
2007Q3,2292867.55,5.78
2007Q2,2310725.87,5.74
2007Q1,2235421.10,6.33
2006Q4,2297045.98,5.37
2006Q3,2167639.14,5.07
2006Q2,2185291.03,4.64
2006Q1,2102431.26,5.41
2005Q4,2180055.38,3.69
2005Q3,2062955.59,3.57
2005Q2,2088381.40,3.82
2005Q1,1994602.86,2.95
2004Q4,2102542.64,4.00
2004Q3,1991801.75,3.76
2004Q2,2011557.82,4.92
2004Q1,1937508.26,4.05
2003Q4,2021622.78,3.11
2003Q3,1919594.03,2.80
2003Q2,1917288.46,2.21
2003Q1,1862107.08,3.06
2002Q4,1960562.26,3.28
2002Q3,1867397.88,4.06
2002Q2,1875797.73,3.52
2002Q1,1806815.75,2.78
2001Q4,1898244.92,6.42
2001Q3,1794517.84,6.62
2001Q2,1812066.84,6.97
2001Q1,1758022.01,7.22
2000Q4,1783685.65,4.47
2000Q3,1683167.81,5.04
2000Q2,1694040.08,5.54
2000Q1,1639710.36,6.14
1999Q4,1707299.09,4.95
1999Q3,1602391.17,4.53
1999Q2,1605161.53,4.35
1999Q1,1544845.37,4.33
1998Q4,1626785.56,4.03
1998Q3,1532993.73,4.23
1998Q2,1538191.80,3.35
1998Q1,1480762.10,4.43
1997Q4,1563837.89,3.23
1997Q3,1470747.08,1.68
1997Q2,1488296.14,2.55
1997Q1,1417883.03,1.07
1996Q4,1514884.45,3.14
1996Q3,1446392.50,4.22
1996Q2,1451312.07,4.54
1996Q1,1402882.14,4.61
1995Q4,1468722.70,
1995Q3,1387826.88,
1995Q2,1388241.65,
1995Q1,1341113.11,
