"","FCT_TOPIC","FCT_HORIZON","FCT_SOURCE","TIME_PERIOD","OBS_VALUE","TRUE_VALUE","ERR_VALUE"
"1","HICP",1,"001",1999 Q4,1.2,1.4,0.2
"2","HICP",1,"001",2000 Q1,1.4,1.9,0.5
"3","HICP",1,"001",2000 Q2,1.5,1.8,0.3
"4","HICP",1,"001",2000 Q3,1.8,2.1,0.3
"5","HICP",1,"001",2000 Q4,1.9,2.5,0.6
"6","HICP",1,"001",2001 Q1,1.9,2,0.1
"7","HICP",1,"001",2001 Q2,2,3.1,1.1
"8","HICP",1,"001",2001 Q3,1.9,2.3,0.4
"9","HICP",1,"001",2001 Q4,1.7,2,0.3
"10","HICP",1,"001",2002 Q1,1.8,2.5,0.7
"11","HICP",1,"001",2002 Q2,2.3,2.1,-0.2
"12","HICP",1,"001",2002 Q3,2.2,2.1,-0.1
"13","HICP",1,"001",2002 Q4,1.9,2.3,0.4
"14","HICP",1,"001",2003 Q1,1.6,2.4,0.8
"15","HICP",1,"001",2003 Q3,1.6,2,0.4
"16","HICP",1,"001",2003 Q4,1.8,2.2,0.4
"17","HICP",1,"001",2004 Q3,1.5,2.4,0.9
"18","HICP",1,"001",2004 Q4,1.5,2.2,0.7
"19","HICP",1,"001",2005 Q1,1.8,2.1,0.3
"20","HICP",1,"001",2005 Q3,1.8,2.2,0.4
"21","HICP",1,"001",2006 Q1,1.7,2.4,0.7
"22","HICP",1,"001",2006 Q2,1.8,2.5,0.7
"23","HICP",1,"001",2006 Q4,2.1,1.9,-0.2
"24","HICP",1,"001",2007 Q1,2.2,1.8,-0.4
"25","HICP",1,"001",2007 Q3,2.3,1.7,-0.6
"26","HICP",1,"001",2007 Q4,2,3.1,1.1
"27","HICP",1,"001",2008 Q1,2,3.3,1.3
"28","HICP",1,"001",2008 Q3,2,3.8,1.8
"29","HICP",1,"001",2008 Q4,2.2,2.1,-0.1
"30","HICP",1,"001",2009 Q1,2.2,1.2,-1
"31","HICP",1,"001",2009 Q3,2.4,-0.2,-2.6
"32","HICP",1,"001",2009 Q4,1.3,0.5,-0.8
"33","HICP",1,"001",2010 Q1,1.3,0.8,-0.5
"34","HICP",1,"001",2010 Q2,1.8,1.7,-0.1
"35","HICP",1,"001",2010 Q3,1.2,1.6,0.4
"36","HICP",1,"001",2010 Q4,1.4,1.9,0.5
"37","HICP",1,"001",2011 Q1,1.5,2.4,0.9
"38","HICP",1,"001",2011 Q3,1.6,2.5,0.9
"39","HICP",1,"001",2012 Q1,2,2.7,0.7
"40","HICP",1,"001",2012 Q4,1,2.2,1.2
"41","HICP",1,"001",2013 Q3,1.9,1.3,-0.6
"42","HICP",1,"001",2013 Q4,1.9,0.9,-1
"43","HICP",1,"001",2014 Q1,1.9,0.7,-1.2
"44","HICP",1,"001",2014 Q3,1.5,0.4,-1.1
"45","HICP",1,"001",2014 Q4,1.8,0.3,-1.5
"46","HICP",1,"001",2015 Q1,1.3,-0.3,-1.6
"47","HICP",1,"001",2015 Q3,1,0.1,-0.9
"48","HICP",1,"001",2015 Q4,0.4,0.2,-0.2
"49","HICP",1,"001",2016 Q1,0.5,-0.2,-0.7
"50","HICP",1,"001",2016 Q3,1.2,0.2,-1
"51","HICP",1,"001",2016 Q4,0.4,0.6,0.2
"52","HICP",1,"001",2017 Q2,0.4,1.4,1
"53","HICP",1,"001",2017 Q3,1.4,1.5,0.1
"54","HICP",1,"001",2017 Q4,1.6,1.5,-0.1
"55","HICP",1,"001",2018 Q1,1.5,1.1,-0.4
"56","HICP",1,"001",2018 Q2,1.5,1.9,0.4
"57","HICP",1,"002",1999 Q4,1.2,1.4,0.2
"58","HICP",1,"002",2000 Q1,1.2,1.9,0.7
"59","HICP",1,"002",2000 Q3,1.6,2.1,0.5
"60","HICP",1,"002",2001 Q1,2,2,0
"61","HICP",1,"002",2001 Q3,2.5,2.3,-0.2
"62","HICP",1,"002",2001 Q4,2.3,2,-0.3
"63","HICP",1,"002",2002 Q1,2.3,2.5,0.2
"64","HICP",1,"002",2002 Q3,2,2.1,0.1
"65","HICP",1,"002",2002 Q4,2,2.3,0.3
"66","HICP",1,"002",2003 Q1,2,2.4,0.4
"67","HICP",1,"002",2003 Q2,2,1.8,-0.2
"68","HICP",1,"002",2003 Q3,2,2,0
"69","HICP",1,"002",2004 Q2,1.8,2.4,0.6
"70","HICP",1,"002",2004 Q4,1.6,2.2,0.6
"71","HICP",1,"002",2005 Q1,2,2.1,0.1
"72","HICP",1,"002",2005 Q3,1.8,2.2,0.4
"73","HICP",1,"002",2006 Q1,1.8,2.4,0.6
"74","HICP",1,"002",2006 Q4,2,1.9,-0.1
"75","HICP",1,"002",2007 Q1,2,1.8,-0.2
"76","HICP",1,"002",2007 Q3,1.8,1.7,-0.1
"77","HICP",1,"002",2007 Q4,1.9,3.1,1.2
"78","HICP",1,"002",2008 Q1,1.9,3.3,1.4
"79","HICP",1,"002",2008 Q3,1.9,3.8,1.9
"80","HICP",1,"002",2008 Q4,2.1,2.1,0
"81","HICP",1,"002",2009 Q1,2.1,1.2,-0.9
"82","HICP",1,"002",2009 Q4,1,0.5,-0.5
"83","HICP",1,"002",2010 Q4,1.7,1.9,0.2
"84","HICP",1,"002",2011 Q1,1.7,2.4,0.7
"85","HICP",1,"002",2011 Q3,1.8,2.5,0.7
"86","HICP",1,"002",2011 Q4,1.9,3,1.1
"87","HICP",1,"002",2012 Q1,2.2,2.7,0.5
"88","HICP",1,"002",2012 Q3,1.8,2.6,0.8
"89","HICP",1,"002",2012 Q4,2.2,2.2,0
"90","HICP",1,"002",2013 Q1,2.3,1.9,-0.4
"91","HICP",1,"002",2013 Q3,2.8,1.3,-1.5
"92","HICP",1,"002",2013 Q4,2.2,0.9,-1.3
"93","HICP",1,"002",2014 Q1,1.8,0.7,-1.1
"94","HICP",1,"002",2014 Q3,1.6,0.4,-1.2
"95","HICP",1,"002",2015 Q1,0.9,-0.3,-1.2
"96","HICP",1,"002",2015 Q3,0.8,0.1,-0.7
"97","HICP",1,"002",2015 Q4,0.5,0.2,-0.3
"98","HICP",1,"002",2016 Q1,0.4,-0.2,-0.6
"99","HICP",1,"002",2016 Q3,0.6,0.2,-0.4
"100","HICP",1,"002",2016 Q4,0.8,0.6,-0.2
"101","HICP",1,"002",2017 Q4,1.4,1.5,0.1
"102","HICP",1,"002",2018 Q2,1.1,1.9,0.8
"103","HICP",1,"003",1999 Q4,0.8,1.4,0.6
"104","HICP",1,"003",2000 Q1,1.1,1.9,0.8
"105","HICP",1,"003",2000 Q2,1.2,1.8,0.6
"106","HICP",1,"003",2000 Q3,1.3,2.1,0.8
"107","HICP",1,"003",2000 Q4,1.8,2.5,0.7
"108","HICP",1,"003",2001 Q1,2,2,0
"109","HICP",1,"003",2001 Q2,1.9,3.1,1.2
"110","HICP",1,"003",2001 Q4,1.9,2,0.1
"111","HICP",1,"003",2002 Q1,2,2.5,0.5
"112","HICP",1,"003",2002 Q2,1.9,2.1,0.2
"113","HICP",1,"003",2002 Q3,1.6,2.1,0.5
"114","HICP",1,"003",2002 Q4,1.7,2.3,0.6
"115","HICP",1,"003",2003 Q1,1.8,2.4,0.6
"116","HICP",1,"003",2003 Q3,2,2,0
"117","HICP",1,"003",2003 Q4,1.7,2.2,0.5
"118","HICP",1,"003",2004 Q1,1.8,1.6,-0.2
"119","HICP",1,"003",2004 Q3,1.8,2.4,0.6
"120","HICP",1,"003",2005 Q1,2,2.1,0.1
"121","HICP",1,"003",2006 Q1,2,2.4,0.4
"122","HICP",1,"003",2006 Q3,2,2.3,0.3
"123","HICP",1,"003",2007 Q1,2.1,1.8,-0.3
"124","HICP",1,"003",2007 Q4,2,3.1,1.1
"125","HICP",1,"003",2008 Q1,1.9,3.3,1.4
"126","HICP",1,"003",2008 Q2,1.9,3.7,1.8
"127","HICP",1,"003",2008 Q3,2,3.8,1.8
"128","HICP",1,"003",2009 Q4,1,0.5,-0.5
"129","HICP",1,"003",2010 Q1,1,0.8,-0.2
"130","HICP",1,"003",2010 Q3,0.9,1.6,0.7
"131","HICP",1,"003",2011 Q1,1,2.4,1.4
"132","HICP",1,"003",2011 Q3,1.6,2.5,0.9
"133","HICP",1,"003",2011 Q4,1.8,3,1.2
"134","HICP",1,"003",2012 Q1,2.4,2.7,0.3
"135","HICP",1,"003",2012 Q3,0.5,2.6,2.1
"136","HICP",1,"003",2013 Q2,2.2,1.4,-0.8
"137","HICP",1,"003",2013 Q3,2.2,1.3,-0.9
"138","HICP",1,"003",2014 Q3,1.6,0.4,-1.2
"139","HICP",1,"003",2015 Q1,0.6,-0.3,-0.9
"140","HICP",1,"003",2015 Q3,0.75,0.1,-0.65
"141","HICP",1,"003",2015 Q4,-0.25,0.2,0.45
"142","HICP",1,"003",2016 Q1,0.8,-0.2,-1
"143","HICP",1,"004",1999 Q4,1.3,1.4,0.0999999999999999
"144","HICP",1,"004",2000 Q1,1.7,1.9,0.2
"145","HICP",1,"004",2000 Q3,1.7,2.1,0.4
"146","HICP",1,"004",2000 Q4,1.8,2.5,0.7
"147","HICP",1,"004",2001 Q1,1.5,2,0.5
"148","HICP",1,"004",2001 Q2,1.8,3.1,1.3
"149","HICP",1,"004",2001 Q3,1.5,2.3,0.8
"150","HICP",1,"004",2001 Q4,1.7,2,0.3
"151","HICP",1,"004",2002 Q1,1.7,2.5,0.8
"152","HICP",1,"004",2002 Q3,1.4,2.1,0.7
"153","HICP",1,"004",2002 Q4,1.7,2.3,0.6
"154","HICP",1,"004",2003 Q1,1.5,2.4,0.9
"155","HICP",1,"004",2003 Q2,1.7,1.8,0.1
"156","HICP",1,"004",2003 Q3,1.7,2,0.3
"157","HICP",1,"004",2003 Q4,1.7,2.2,0.5
"158","HICP",1,"004",2004 Q1,1.3,1.6,0.3
"159","HICP",1,"004",2004 Q2,1.5,2.4,0.9
"160","HICP",1,"004",2004 Q3,1.6,2.4,0.8
"161","HICP",1,"004",2004 Q4,1.8,2.2,0.4
"162","HICP",1,"004",2005 Q1,1.8,2.1,0.3
"163","HICP",1,"004",2005 Q2,2.1,2,-0.1
"164","HICP",1,"004",2005 Q3,2.2,2.2,0
"165","HICP",1,"004",2005 Q4,2,2.3,0.3
"166","HICP",1,"004",2006 Q1,2,2.4,0.4
"167","HICP",1,"004",2006 Q3,1.7,2.3,0.6
"168","HICP",1,"004",2006 Q4,2.1,1.9,-0.2
"169","HICP",1,"004",2007 Q1,2.2,1.8,-0.4
"170","HICP",1,"004",2007 Q2,2,1.9,-0.1
"171","HICP",1,"004",2007 Q3,2,1.7,-0.3
