Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=132.STS.M.U2.S.UNEH.RTT000.4.000&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=N
,STS.M.U2.S.UNEH.RTT000.4.000
,"Euro area (changing composition) - Standardised unemployment, Rate, Total (all ages), Total (male & female); unspecified; Eurostat; Seasonally adjusted, not working day adjusted,  percentage of civilian workforce"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
2018Aug,8.100000
2018Jul,8.170000
2018Jun,8.220000
2018May,8.220000
2018Apr,8.360000
2018Mar,8.450000
2018Feb,8.540000
2018Jan,8.630000
2017Dec,8.640000
2017Nov,8.700000
2017Oct,8.780000
2017Sep,8.880000
2017Aug,8.980000
2017Jul,9.050000
2017Jun,9.060000
2017May,9.190000
2017Apr,9.220000
2017Mar,9.380000
2017Feb,9.450000
2017Jan,9.560000
2016Dec,9.630000
2016Nov,9.750000
2016Oct,9.770000
2016Sep,9.870000
2016Aug,9.900000
2016Jul,10.000000
2016Jun,10.130000
2016May,10.160000
2016Apr,10.240000
2016Mar,10.230000
2016Feb,10.340000
2016Jan,10.350000
2015Dec,10.440000
2015Nov,10.480000
2015Oct,10.580000
2015Sep,10.610000
2015Aug,10.670000
2015Jul,10.790000
2015Jun,10.990000
2015May,11.060000
2015Apr,11.100000
2015Mar,11.180000
2015Feb,11.190000
2015Jan,11.270000
2014Dec,11.350000
2014Nov,11.510000
2014Oct,11.520000
2014Sep,11.510000
2014Aug,11.480000
2014Jul,11.580000
2014Jun,11.530000
2014May,11.660000
2014Apr,11.730000
2014Mar,11.820000
2014Feb,11.890000
2014Jan,11.930000
2013Dec,11.890000
2013Nov,11.930000
2013Oct,11.950000
2013Sep,12.020000
2013Aug,12.010000
2013Jul,12.060000
2013Jun,12.080000
2013May,12.090000
2013Apr,12.090000
2013Mar,12.060000
2013Feb,12.050000
2013Jan,12.010000
2012Dec,11.870000
2012Nov,11.790000
2012Oct,11.710000
2012Sep,11.580000
2012Aug,11.480000
2012Jul,11.410000
2012Jun,11.350000
2012May,11.230000
2012Apr,11.150000
2012Mar,11.020000
2012Feb,10.870000
2012Jan,10.730000
2011Dec,10.660000
2011Nov,10.560000
2011Oct,10.400000
2011Sep,10.300000
2011Aug,10.150000
2011Jul,10.060000
2011Jun,9.940000
2011May,9.900000
2011Apr,9.860000
2011Mar,9.910000
2011Feb,9.920000
2011Jan,9.960000
2010Dec,9.990000
2010Nov,9.990000
2010Oct,10.040000
2010Sep,10.010000
2010Aug,10.020000
2010Jul,10.020000
2010Jun,10.090000
2010May,10.130000
2010Apr,10.130000
2010Mar,10.050000
2010Feb,10.040000
2010Jan,10.010000
2009Dec,9.970000
2009Nov,9.930000
2009Oct,9.900000
2009Sep,9.860000
2009Aug,9.730000
2009Jul,9.660000
2009Jun,9.560000
2009May,9.470000
2009Apr,9.380000
2009Mar,9.240000
2009Feb,8.960000
2009Jan,8.680000
2008Dec,8.260000
2008Nov,8.010000
2008Oct,7.800000
2008Sep,7.630000
2008Aug,7.570000
2008Jul,7.470000
2008Jun,7.480000
2008May,7.390000
2008Apr,7.370000
2008Mar,7.280000
2008Feb,7.310000
2008Jan,7.330000
2007Dec,7.350000
2007Nov,7.320000
2007Oct,7.350000
2007Sep,7.400000
2007Aug,7.460000
2007Jul,7.510000
2007Jun,7.460000
2007May,7.540000
2007Apr,7.570000
2007Mar,7.670000
2007Feb,7.770000
2007Jan,7.870000
2006Dec,7.940000
2006Nov,8.060000
2006Oct,8.110000
2006Sep,8.170000
2006Aug,8.230000
2006Jul,8.280000
2006Jun,8.350000
2006May,8.470000
2006Apr,8.560000
2006Mar,8.650000
2006Feb,8.720000
2006Jan,8.750000
2005Dec,8.830000
2005Nov,8.880000
2005Oct,8.940000
2005Sep,8.940000
2005Aug,8.940000
2005Jul,9.000000
2005Jun,9.080000
2005May,9.080000
2005Apr,9.140000
2005Mar,9.050000
2005Feb,9.050000
2005Jan,9.020000
2004Dec,9.060000
2004Nov,9.110000
2004Oct,9.090000
2004Sep,9.100000
2004Aug,9.060000
2004Jul,9.040000
2004Jun,9.050000
2004May,9.080000
2004Apr,9.080000
2004Mar,9.110000
2004Feb,9.060000
2004Jan,9.020000
2003Dec,8.960000
2003Nov,8.910000
2003Oct,8.900000
2003Sep,8.900000
2003Aug,8.870000
2003Jul,8.880000
2003Jun,8.890000
2003May,8.840000
2003Apr,8.820000
2003Mar,8.830000
2003Feb,8.790000
2003Jan,8.770000
2002Dec,8.710000
2002Nov,8.630000
2002Oct,8.560000
2002Sep,8.540000
